92:40,S,36,39@0.84:32,91
91:40,S,36,39@0.84;39,T,35,39@0.84:35,90
90:39,T,35,39@0.84;39,T,'47',39@1:38,89
89:39,T,'47',39@1;39,T,39,100@1:26_cluster_KaridNRRLB16535chlor|0047c0|0-321|3363|KaridNRRLB16535chlor_1349_0499,88
88:39,T,39,100@1;100,S,'48',98@1:48_cluster_WAC1424cluster109|bf8bfe|0-265|6283|WAC1424cluster109_2459_0499,87
87:100,S,'48',98@1;98,D,98,98@1:01_cluster_A40926|3ca8c0|0-321|36|A40926_36_0499,86
86:98,D,98,98@1;98,T,98,55@0.5:71_cluster_Kistamicin|1cd265|0-324|9777|Kistamicin_3726_0501,85
85:98,T,98,55@0.5;55,T,'67',55@0.071:49,84
84:55,T,'67',55@0.071;55,S,'70',53@1:78,83
83:55,S,'70',53@1;53,S,51,'61'@0.48:43_cluster_WAC01325|2e7ea3|0-293|5513|WAC01325_2076_0407,82
82:53,S,51,'61'@0.48;'61',T,'54','61'@0.48:54_cluster_WAC05379-1|70959e|0-293|7225|WAC05379-1_2845_0407,61_cluster_FNTE|f1054f|0-313|8118|FNTE_3132_0407
43_cluster_WAC01325|2e7ea3|0-293|5513|WAC01325_2076_0407:53,S,51,'61'@0.48;51,SL,'54','43'@0.52
78:55,S,'70',53@1;'70',T,92,'70'@0.12:72,77
77:'70',T,92,'70'@0.12;'70',T,'70','10'@0.5:70_cluster_TLI55.cluster001|71d3a3|0-300|9625|TLI55_3668_0443,76
76:'70',T,'70','10'@0.5;'10',T,'39','10'@0.5:39_cluster_UK68597|f98911|0-329|5059|UK68597_1933_0462,10_cluster_ArectNRRLB16090|9561e2|0-328|1256|ArectNRRLB16090_544_0462
72:'70',T,92,'70'@0.12;92,T,'68',92@0.12:52,71
71:92,T,'68',92@0.12;92,T,92,76@0.25:67,70
70:92,T,92,76@0.25;76,S,'57','59'@1:57_cluster_WAC06725|00b6bc|0-331|7654|WAC06725_2974_0482,59_cluster_WAC06783|ebe571|0-322|7900|WAC06783_3055_0482
67:92,T,92,76@0.25;92,T,'42',92@0.5:42_cluster_WAC00631|7f17c2|0-331|5392|WAC00631_2038_0482,66
66:92,T,'42',92@0.5;92,S,'62',90@1:62_cluster_SspCNQ329.cluster001|b2002a|0-274|8258|SspCNQ329_3199_0622,65
65:92,S,'62',90@1;90,S,86,89@1:61,64
64:90,S,86,89@1;89,S,'33','58'@1:33_cluster_SspCNQ509|274c97|0-204|4311|SspCNQ509_1678_0622,58_cluster_WAC06738cluster004|896b4b|0-294|7766|WAC06738cluster004_3008_0482
61:90,S,86,89@1;86,S,'63',84@1:63_cluster_SspCNQ525.cluster001|b83858|0-274|8407|SspCNQ525_3256_0622,60
60:86,S,'63',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|b83858|0-274|8709|SspCNT371_3368_0622,59
59:84,S,'65',82@1;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|b83858|0-274|8558|SspCNQ865_3312_0622,66_cluster_SspCNY243.cluster001|b83858|0-274|8858|SspCNY243_3422_0622
52:92,T,'68',92@0.12;'68',T,'02','68'@1:02_cluster_A47934|11ecd5|0-333|121|A47934_49_0478,68_cluster_HdaliensisNBRC106472.cluster001|b1459b|0-317|9194|HdaliensisNBRC106472_3526_0514
49:55,T,'67',55@0.071;'67',T,'69','67'@0.14:69_cluster_MchersinaDSM44151|05509a|0-338|9403|MchersinaDSM44151_3583_0460,48
48:'67',T,'69','67'@0.14;'67',T,'68','67'@0.29:68_cluster_HdaliensisNBRC106472.cluster001|a4ee04|0-317|9193|HdaliensisNBRC106472_3525_0515,47
