98:28,S,27,24@1:4,97
97:28,S,27,24@1;24,S,22,'47'@1:13,96
96:24,S,22,'47'@1;'47',TTD,-1,'47'@1:45_cluster_WAC1376cluster143|2f68bd|1013-1021|5879|45_cluster_WAC1376cluster143-2259-Item8-PCP-Item7-X_Fill_0,95
95:'47',TTD,-1,'47'@1;'47',TTD,-1,'47'@1:35,94
94:'47',TTD,-1,'47'@1;'47',TTD,-1,'47'@0.75:44,93
93:'47',TTD,-1,'47'@0.75;'47',TTD,-1,'47'@1:04_cluster_AazureaDSM43854|7a2c10|1040-1048|441|04_cluster_AazureaDSM43854-160-Item25-PCP-Item26-X_Fill_0,92
92:'47',TTD,-1,'47'@1;'47',TTD,-1,'47'@1:03_cluster_AalbaDSM44262|3f5634|1036-1044|317|03_cluster_AalbaDSM44262-97-Item26-PCP-Item27-X_Fill_0,91
91:'47',TTD,-1,'47'@1;'47',T,49,'47'@0.5:69,90
90:'47',T,49,'47'@0.5;'47',TTD,'47',-1@0.66:82,89
89:'47',TTD,'47',-1@0.66;-1,TFD,'42',-1@0.12:42_cluster_WAC00631|01badb|1036-1044|5492|42_cluster_WAC00631-2043-Item32-PCP-Item33-X_Fill_0,88
88:-1,TFD,'42',-1@0.12;-1,TFD,'09',-1@0.071:09_cluster_AOHO0100074|586f66|1046-1054|1156|09_cluster_AOHO0100074-463-Item25-PCP-Item26-X_Fill_0,87
87:-1,TFD,'09',-1@0.071;-1,TLFD,-1,70@0.34;70,S,'40','51'@1:40_cluster_Vancomycin|0a9770|1046-1054|5244|40_cluster_Vancomycin-1957-Item25-PCP-Item26-X_Fill_0,51_cluster_WAC4169cluster051|0dd5c9|1046-1054|6855|51_cluster_WAC4169cluster051-2637-Item8-PCP-Item7-X_Fill_0
82:'47',TTD,'47',-1@0.66;'47',T,'02','47'@0.5:02_cluster_A47934|f1a9cd|1049-1058|193|02_cluster_A47934-66-Item30-PCP-Item31-X_Fill_0,81
81:'47',T,'02','47'@0.5;'47',TTD,'47',-1@0.64:75,80
80:'47',TTD,'47',-1@0.64;-1,TFD,'29',-1@0.091:29_cluster_pekiskomycin|3b5b44|1049-1057|3853|29_cluster_pekiskomycin-1530-Item25-PCP-Item26-X_Fill_0,79
79:-1,TFD,'29',-1@0.091;-1,TLFD,-1,96@0.36;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|d4f558|1038-1046|655|05_cluster_AbalhimycinaFH1894-232-Item25-PCP-Item26-X_Fill_0,14_cluster_Balhimycin|638910|1038-1046|1868|14_cluster_Balhimycin-710-Item25-PCP-Item26-X_Fill_0
75:'47',TTD,'47',-1@0.64;'47',T,'47',100@0.5:47_cluster_WAC1420|f1adce|1049-1057|6238|47_cluster_WAC1420-2419-Item25-PCP-Item26-X_Fill_0,74
74:'47',T,'47',100@0.5;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|1dfbcd|1049-1057|2425|18_cluster_Chloroeremomycin-1-962-Item25-PCP-Item26-X_Fill_0,26_cluster_KaridNRRLB16535chlor|661409|1040-1048|3485|26_cluster_KaridNRRLB16535chlor-1356-Item25-PCP-Item26-X_Fill_0
69:'47',T,49,'47'@0.5;49,S,'71','01'@1:71_cluster_Kistamicin|c2bb94|1022-1038|9819|71_cluster_Kistamicin-3713-Item24-PCP-Item25-X_Fill_0,68
68:49,S,'71','01'@1;'01',T,78,'01'@0.5:52,67
67:'01',T,78,'01'@0.5;'01',T,67,'01'@0.5:59,66
66:'01',T,67,'01'@0.5;'01',T,'28','01'@0.5:28_cluster_NcoxDSM45129|80f814|1046-1054|3690|28_cluster_NcoxDSM45129-1496-Item29-PCP-Item30-X_Fill_0,65
65:'01',T,'28','01'@0.5;'01',T,'01',88@0.5:01_cluster_A40926|6a1658|1045-1053|89|01_cluster_A40926-24-Item29-PCP-Item30-X_Fill_0,64
64:'01',T,'01',88@0.5;88,S,'44','46'@1:44_cluster_WAC1375|26826b|1039-1047|5705|44_cluster_WAC1375-2130-Item25-PCP-Item26-X_Fill_0,46_cluster_WAC1416cluster068|d7004d|1013-1021|6113|46_cluster_WAC1416cluster068-2307-Item24-PCP-Item25-X_Fill_0
